2023-11-07 16:08:33.392 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-07 16:08:33.399 INFO  [restartedMain] [com.shop.Pro05Application] - Starting Pro05Application using Java 17.0.7 on FULL8-017 with PID 8820 (D:\shin\springboot\pro05\build\classes\java\main started by db400tea in D:\shin\springboot\pro05)
2023-11-07 16:08:33.400 INFO  [restartedMain] [com.shop.Pro05Application] - No active profile set, falling back to 1 default profile: "default"
2023-11-07 16:08:33.663 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-07 16:08:33.663 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-07 16:08:34.058 WARN  [restartedMain] [o.m.spring.mapper.ClassPathMapperScanner] - No MyBatis mapper was found in '[com.shop]' package. Please check your configuration.
2023-11-07 16:08:34.440 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-07 16:08:34.445 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-07 16:08:34.446 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-07 16:08:34.446 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-07 16:08:34.493 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-07 16:08:34.494 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 830 ms
2023-11-07 16:08:34.770 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-07 16:08:34.954 WARN  [restartedMain] [o.s.b.a.s.s.UserDetailsServiceAutoConfiguration] - 

Using generated security password: c8494d8f-9e06-4cf9-9384-d5589b9225ef

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2023-11-07 16:08:35.010 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@583d6dbd, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3c18108, org.springframework.security.web.context.SecurityContextPersistenceFilter@1cc9eb35, org.springframework.security.web.header.HeaderWriterFilter@f696d2f, org.springframework.security.web.csrf.CsrfFilter@3be34f93, org.springframework.security.web.authentication.logout.LogoutFilter@146c3d43, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@57a13ba5, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@35e48fc4, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@18768f41, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@5d20d0f2, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@61f5152a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@39733c39, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3f3a04b3, org.springframework.security.web.session.SessionManagementFilter@9f91229, org.springframework.security.web.access.ExceptionTranslationFilter@40ea594a, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@14a3b8db]
2023-11-07 16:08:35.032 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-07 16:08:35.042 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-07 16:08:35.051 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-07 16:08:35.058 INFO  [restartedMain] [com.shop.Pro05Application] - Started Pro05Application in 2.111 seconds (JVM running for 2.639)
2023-11-07 16:08:58.089 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-07 16:08:58.089 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-07 16:08:58.089 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 0 ms
2023-11-07 16:16:38.197 INFO  [restartedMain] [com.shop.Pro05Application] - Starting Pro05Application using Java 17.0.7 on FULL8-017 with PID 19164 (D:\shin\springboot\pro05\build\classes\java\main started by db400tea in D:\shin\springboot\pro05)
2023-11-07 16:16:38.197 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-07 16:16:38.199 INFO  [restartedMain] [com.shop.Pro05Application] - No active profile set, falling back to 1 default profile: "default"
2023-11-07 16:16:38.417 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-07 16:16:38.417 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-07 16:16:38.873 WARN  [restartedMain] [o.m.spring.mapper.ClassPathMapperScanner] - No MyBatis mapper was found in '[com.shop]' package. Please check your configuration.
2023-11-07 16:16:39.092 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-07 16:16:39.096 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-07 16:16:39.097 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-07 16:16:39.097 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-07 16:16:39.137 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-07 16:16:39.138 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 720 ms
2023-11-07 16:16:39.199 WARN  [restartedMain] [o.s.b.a.s.s.UserDetailsServiceAutoConfiguration] - 

Using generated security password: e9f7b839-a7cc-4f40-a4d8-13459862b646

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2023-11-07 16:16:39.249 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5fc51070, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@45f1d9f, org.springframework.security.web.context.SecurityContextPersistenceFilter@345528c7, org.springframework.security.web.header.HeaderWriterFilter@641c90aa, org.springframework.security.web.csrf.CsrfFilter@680a47a1, org.springframework.security.web.authentication.logout.LogoutFilter@5dd0832a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@56844856, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@75c9f230, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@721cc408, org.springframework.security.web.session.SessionManagementFilter@154095d5, org.springframework.security.web.access.ExceptionTranslationFilter@40c2679c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4652a3d2]
2023-11-07 16:16:39.338 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-07 16:16:39.490 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
